,Host,8/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,,Est Rev,Days Month,Hours Month,Rewards Month,Link
130,7595613235412271121,danielknightley,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,226,226,4,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@danielknightley
91,7435227794231017473,onomushi,GO,-1,,,,Eliza,4,Y,1.00,1,12%,7,6,2,15,13,4,10,1,"100,000","99,996",Down,1,,212,222,11,-1,-1,-3,"6,000",0,"6,000",-,0,,?0.01,8,20,0,https://www.tiktok.com/@onomushi
49,7432578492514074640,hey.itskatie,GO,-1,,,,Eliza,5,Y,1.00,1,12%,7,6,1,15,14,133,344,1,"100,000","99,867",Down,1,,348,215,2,-1,-1,-3,0,0,0,-,0,,?0.45,8,20,0,https://www.tiktok.com/@hey.itskatie
23,7560597496783716368,ayooothatsdee,GO,-1,,,,Eliza,3,Y,1.00,0,0%,7,7,2,15,13,"1,095","2,829",1,"100,000","98,905",Down,1,,"1,298",207,864,0,2,4,0,0,0,-,0,,?3.70,8,20,0,https://www.tiktok.com/@ayooothatsdee
48,7663444735087935495,justwow992,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,145,375,1,"100,000","99,855",Down,1,,339,194,,-1,,-3,0,0,0,-,0,,?0.49,8,20,0,https://www.tiktok.com/@justwow992
51,7664938314511712276,hass80ben,GO,1,2,,,,472,Y,1.00,9,106%,11,2,24,30,6,111,287,1,"100,000","99,889",-,1,,285,174,,5,,18,0,0,0,-,0,,?0.37,22,80,0,https://www.tiktok.com/@hass80ben
77,7435079276774539280,cjkonnichiwaa,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,11,28,1,"100,000","99,989",Down,1,,177,166,500,-1,-1,-3,0,0,0,-,0,,?0.04,8,20,0,https://www.tiktok.com/@cjkonnichiwaa
85,7499232263918354449,theresonly0neme,GO,-1,,,,Eliza,3,Y,1.00,1,12%,7,6,1,15,14,6,16,1,"100,000","99,994",Down,1,,61,154,55,-1,-1,-3,0,0,0,-,0,,?0.02,8,20,0,https://www.tiktok.com/@theresonly0neme
131,7481214759870676993,majesticmindsets,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,135,135,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@majesticmindsets
50,7517579358937300993,barbiedoom,GO,-1,,@alishafullerrr,,Eliza,30,Y,1.00,0,0%,7,7,0,15,15,112,289,1,"100,000","99,888",Down,1,,112,122,"2,050",-1,-1,-3,0,0,0,-,0,,?0.38,8,20,0,https://www.tiktok.com/@barbiedoom
141,7485804261184585745,leonjoullie,GO,-1,,@leonjoullie_,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,119,45,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@leonjoullie
35,7531232605170302992,tayaw,GO,-1,,,,Eliza,4,Y,1.00,0,0%,7,7,1,15,14,423,"1,093",1,"100,000","99,577",Down,1,,540,118,0,-1,-1,-3,0,0,0,-,0,,?1.43,8,20,0,https://www.tiktok.com/@tayaw
133,7663937567158435857,footballrarefacts,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,115,115,,3,,6,0,0,0,-,0,,?0.00,18,60,0,https://www.tiktok.com/@footballrarefacts
134,7517771065578340368,cabquiz,GO,-1,,,,Stian,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,51,110,82,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@cabquiz
100,7662852022139437076,larisakevinjuncu,GO,-1,2,,,,1,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,111,110,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@larisakevinjuncu
135,7451696074924015632,cristinacarryon,GO,-1,,,,Ruta,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,101,6,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@cristinacarryon
64,7664998109264560144,marinetteplaysmm2,GO,-1,2,,,,114,Y,1.00,1,12%,7,6,1,15,14,37,96,1,"100,000","99,963",Down,1,,136,99,,2,,3,0,0,0,-,0,,?0.12,15,40,0,https://www.tiktok.com/@marinetteplaysmm2
136,7664246381795704849,_______bigjohn,GO,-1,2,,,,1,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,90,90,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@_______bigjohn
101,7472352964137762832,ja5m13._,GO,-1,,,,Eliza,2,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,1,87,110,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@ja5m13._
92,7388859956205731841,katiegracemusic,GO,-1,,,,Eliza,4,Y,1.00,0,0%,7,7,0,15,15,3,8,1,"100,000","99,997",Down,1,,89,86,0,-1,-1,-3,"13,000",0,"13,000",-,0,,?0.01,8,20,0,https://www.tiktok.com/@katiegracemusic
72,7455670427764129809,caenhillcc,GO,-1,,,,Eliza,5,Y,1.00,0,0%,7,7,0,15,15,18,47,1,"100,000","99,982",Down,1,,18,78,534,-1,-1,-3,"5,000",0,"5,000",-,0,,?0.06,8,20,0,https://www.tiktok.com/@caenhillcc
42,7647071449806716945,woodygtag5,GO,-1,2,@djj28,,Eliza,12,Y,1.00,2,23%,7,5,3,15,12,214,553,1,"100,000","99,786",Down,1,,283,71,,-1,,-3,0,0,0,-,0,,?0.72,8,20,0,https://www.tiktok.com/@woodygtag5
31,7514829787777744897,georgeroffeart,GO,-1,,@georgeroffeart,,Eliza,24,Y,1.00,1,12%,7,6,1,15,14,505,"1,305",1,"100,000","99,495",Down,1,,569,68,459,-1,-1,-3,"5,000",0,"4,000",-,0,,?1.70,8,20,0,https://www.tiktok.com/@georgeroffeart
137,7662119789745373185,crazyjtb,GO,-1,2,@crazyjtb,,,6,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,60,60,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@crazyjtb
70,7663178329792610312,zb_randomm,GO,-1,2,,,,4,Y,1.00,4,47%,7,3,15,15,0,23,59,1,"100,000","99,977",Down,1,,72,49,,1,,0,0,0,0,-,0,,?0.08,11,30,0,https://www.tiktok.com/@zb_randomm
138,7618692374247686145,maiahewardmills,GO,-1,6,,,Eliza,4,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,39,39,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@maiahewardmills
209,7564833215588892689,joe650296,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,5,37,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@joe650296
102,7454199645766467600,edensedits0,GO,-1,,,,Eliza,24,Y,1.00,1,12%,7,6,2,15,13,1,3,1,"100,000","99,999",Down,1,,1,34,62,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@edensedits0
79,7662730952925265927,theobwfc,GO,-1,2,@th3obwfc,,,0,Y,1.00,0,0%,7,7,0,15,15,10,26,1,"100,000","99,990",Down,1,,44,34,,-1,,-3,0,0,0,-,0,,?0.03,8,20,0,https://www.tiktok.com/@theobwfc
86,7439175327164792833,markiza618sagittarius,GO,-1,,,,Eliza,8,Y,1.00,2,23%,7,5,5,15,10,6,16,1,"100,000","99,994",Down,1,,27,33,130,-1,-1,-3,"22,500",0,"22,500",-,0,,?0.02,8,20,0,https://www.tiktok.com/@markiza618sagittarius
103,7477905644465438737,rosemixing,GO,-1,,@mixedbyrose_10794,,Eliza,6,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,34,33,4,-1,-1,-3,"4,500",0,"4,500",-,0,,?0.00,8,20,0,https://www.tiktok.com/@rosemixing
104,7584459312647684097,rubes5702,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,1,30,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@rubes5702
140,7547501656385077265,jessyordxxx,GO,-1,,@jessymiaxxx,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,30,30,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@jessyordxxx
105,7662137439443681297,therealoblong,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,1,3,1,"100,000","99,999",Down,1,,31,30,,3,,6,0,0,0,-,0,,?0.00,18,60,0,https://www.tiktok.com/@therealoblong
106,7471262221516095505,ginabutmusical,GO,-1,,@GLN4A,,Eliza,2,Y,1.00,0,0%,7,7,1,15,14,1,3,1,"100,000","99,999",Down,1,,1,29,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@ginabutmusical
