,Host,3/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Rewards Month,Link
622,7551242840450383927,nikkigooch4,GO,,7,@n_gooch,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@nikkigooch4
623,7359136334830796805,alwayshim19,GO,,7,@raven089398,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@alwayshim19
624,7549362050292760589,amber01123,GO,,7,@spookymama92,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@amber01123
625,7363458991315501072,tx_clarebear,GO,,8,@tx_clarebear,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@tx_clarebear
626,7540210189027295287,iluv_pitabread,GO,,8,@kaytlin_blair_17767,Music,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,"1,000","1,000",0,-,0,8,20,0,https://www.tiktok.com/@iluv_pitabread
627,7539213472236683319,pglassman68,GO,,8,@griznation68,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@pglassman68
628,7543056721388879927,mariamcgill3,GO,,8,@mia_babydoll,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@mariamcgill3
629,7537126891673927735,baby.lange7777,GO,,8,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@baby.lange7777
630,7543807642234306615,torikayofficial,GO,,8,@torikay8492,Music,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@torikayofficial
631,7544385399389634615,hannahh764,GO,,8,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@hannahh764
632,7535179859534954551,xoxoseptemberr,GO,,8,@xoxoseptemberr,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@xoxoseptemberr
633,7377956668812050449,royal_maiden,GO,,8,@maiden243,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@royal_maiden
634,7538182665934225463,shiennegh,GO,,8,@shyybaby,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@shiennegh
635,7538874394421280781,denise_edwards71,GO,,8,@mommyeds03,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@denise_edwards71
636,7543090187069505591,itslalamovess,GO,,8,@silver_cloudss,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@itslalamovess
637,7541126368428474423,stefandakarivlogs,GO,,8,@officialakarihashimoto,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@stefandakarivlogs
638,7359139215025700869,wh0s.kaliyaah,GO,,8,@kalillard0221,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@wh0s.kaliyaah
639,7541718074152697869,mortgage.with.gage,GO,,8,,,COLTON,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@mortgage.with.gage
640,7535949207002464270,chelseagafford,GO,,8,@gaffordc,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@chelseagafford
641,7533400357939101710,kimmie140,GO,,8,@kimmie140,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@kimmie140
642,7533400226460352526,sammysosexy1,GO,,8,@sammytsu7234,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@sammysosexy1
643,7533400409910689805,buickmckane8,GO,,8,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@buickmckane8
644,7533845752582553613,gigiguerrero01,GO,,8,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@gigiguerrero01
645,7523759456304529409,cjthewolfboi25,GO,,9,@cjthewolfboi,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@cjthewolfboi25
646,7523037433861013505,just.an.average.mark,GO,,9,@argo_2008,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@just.an.average.mark
647,7523381048978391057,yamiharuvr,GO,,9,@1yamiharu,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@yamiharuvr
