,Host,3/5,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Link
57,7538007038555897911,celia.silva072,GO,,8,@celiasilva072,,LEVI,14,Y,1.00,4,113%,7,3,12,15,3,"40,164","249,017",1,"200,000","159,836",Down,2,,"22,961","139,046","83,608",2,2,22,0,0,0,-,0,15,40,https://www.tiktok.com/@celia.silva072
58,7546017169939709965,ardy.afshar,GO,,7,@ardy.afshar,,BRYTON,7,Y,1.00,1,28%,7,6,1,15,14,"39,262","243,424",1,"100,000","60,738",Down,1,,"390,795","69,086","78,009",-1,-1,8,"17,000",0,"17,000",-,0,8,20,https://www.tiktok.com/@ardy.afshar
59,7359139156565622790,naseem0815,GO,,25,@nramcharan,,LEVI,11,Y,1.00,5,141%,7,2,14,15,1,"39,003","241,819",1,"200,000","160,997",Down,2,,"88,627","118,089","121,232",3,3,29,"4,750",0,"4,750",-,0,18,60,https://www.tiktok.com/@naseem0815
60,7359134517946417157,ashleymatute_,GO,,48,@ashleymatute_,,CARRINGTON,36,Y,1.00,2,56%,7,5,7,15,8,"36,626","227,081",1,"1,600,000","1,563,374",Down,6,,"1,619,700","1,218,075","1,361,144",4,6,68,"39,250",0,"39,250",1x,"39,250",22,80,https://www.tiktok.com/@ashleymatute_
61,7550884206759559223,uriquarlesceodfm,GO,,7,@uriq0728,,LEVI,20,Y,1.00,1,28%,7,6,3,15,12,"35,116","217,719",1,"100,000","64,884",Down,1,,"8,464","41,299","14,278",0,-1,5,0,0,0,-,0,8,20,https://www.tiktok.com/@uriquarlesceodfm
62,7555294248464039991,follow_the_breeze,GO,,7,@brianna_the_breeze,Music,CARRINGTON,17,Y,1.00,2,56%,7,5,7,15,8,"34,397","213,261",1,"1,000,000","965,603",Down,5,,"18,171","851,833","752,245",5,5,63,"42,500","24,500","4,000",1x,"4,000",22,80,https://www.tiktok.com/@follow_the_breeze
63,7563762554611417101,thatbrokeguy2024,GO,,6,@dmfjmoney2023,,BRYTON,12,Y,1.00,5,141%,7,2,35,15,-20,"34,096","211,395",1,"100,000","65,904",Down,1,,"5,264","37,911","17,752",1,1,8,0,0,0,-,0,11,30,https://www.tiktok.com/@thatbrokeguy2024
64,7359134574070398981,sierralandmagic,GO,,46,@sierralandasmr,"ASMR, Music",CARRINGTON,111,Y,1.00,3,85%,7,4,10,15,5,"33,447","207,371",1,"1,000,000","966,553",Down,5,,"983,581","690,897","554,362",2,2,41,"609,475","3,000","12,075",1x,"12,075",15,40,https://www.tiktok.com/@sierralandmagic
65,7359135998355472389,brayden.pantel,GO,,32,@brayden.pantel,,CARRINGTON,97,Y,1.00,1,28%,7,6,2,15,13,"29,419","182,398",1,"1,600,000","1,570,581",Down,6,,"1,403,080","1,482,249","2,512,304",-1,0,44,"65,000",0,"-10,000",1x,0,8,20,https://www.tiktok.com/@brayden.pantel
66,7359135185687904261,ashtingles,GO,,36,@asmrashleybenitez,ASMR,LEVI,796,Y,1.00,4,113%,7,3,8,15,7,"28,952","179,502",1,"500,000","471,048",Down,4,,"69,976","317,268","149,348",2,0,26,"3,500",0,"-2,500",-,0,15,40,https://www.tiktok.com/@ashtingles
