CID,TikTok,Type,Date,Plus,Minus
7554552006812188727,imjustnicob,Gaming Showdown,2/2/2026,"15,000",
7578672537446694925,cottonsnivy,Gaming Showdown,2/2/2026,"5,000",
7576723590549389326,gaywhonotme,Rookie Reward,2/1/2026,"18,000",
7359134585688522757,singleonthemove,Bonus,2/1/2026,"70,000",-70000
7409743090665242641,theviolution,Gifted,1/29/2026,,-5000
7359135105165656069,freekbass,Gifted,1/29/2026,,-1500
7359134961959632902,thecyrilia,Music Cypher,1/29/2026,"10,000",
7359136363951816710,rockylanemusic,Music Cypher,1/29/2026,"15,000",-15000
7359135264167428102,coloreomusic,Gifted,1/29/2026,,-2950
7359135105165656069,freekbass,Gifted,1/29/2026,,-5000
7409743090665242641,theviolution,Gifted,1/29/2026,,-5000
7555294248464039991,follow_the_breeze,Gifted,1/28/2026,,-14500
7359135097779519493,bryton.39,Sunday Knockout,1/27/2026,"30,000",-10000
7359134909191159814,skylerclarkk,Sunday Knockout,1/27/2026,"6,000",-6000
7433607263870517264,alexaraeemusic,Sunday Knockout,1/27/2026,"13,000",-13000
7581605738645078071,jordan.borges,Sunday Knockout,1/27/2026,"5,000",-5000
7359135264167428102,coloreomusic,Gifted,1/27/2026,,-2000
7451090481020321808,growandglowasmr,Bonus,1/25/2026,"35,000",-35000
7359135105165656069,freekbass,Gifted,1/25/2026,,-1000
7359135097779519493,bryton.39,Royal Rumble,1/24/2026,"64,000",-34000
7359135264167428102,coloreomusic,Royal Rumble,1/24/2026,"19,000",-19000
7359136672245809158,natalianope,Royal Rumble,1/24/2026,"14,000",-14000
7359135097779519493,bryton.39,Bonus,1/24/2026,"35,000",-35000
7359134960558571525,smity194,Bonus,1/24/2026,"35,000",-35000
7359135264167428102,coloreomusic,Gifted,1/24/2026,,-600
7527933905626988561,shanellenikolee,Bonus,1/23/2026,"70,000",-70000
7537793382597410829,svendranoel,Bonus,1/22/2026,"35,000",-35000
7359135264167428102,coloreomusic,Gifted,1/22/2026,,-2500
7359134909191159814,skylerclarkk,Royal Rumble,1/21/2026,"2,000",-2000
7359134572702957574,jayden_egg,Royal Rumble,1/21/2026,"28,000",-8000
7581605738645078071,jordan.borges,Royal Rumble,1/21/2026,"2,000",-2000
7359134572702957574,jayden_egg,Gifted,1/21/2026,,-10000
7359135264167428102,coloreomusic,Gifted,1/21/2026,,-2000
7359135762769608710,mistresswednesday13,Gifted,1/20/2026,,-6500
7359135097779519493,bryton.39,Sunday Knockout,1/19/2026,"20,000",
7359134909191159814,skylerclarkk,Sunday Knockout,1/19/2026,"14,000",-14000
7474398331670626321,_alycen,Sunday Knockout,1/19/2026,"2,000",-2000
7566313243967471630,davidwilliamwatts,Sunday Knockout,1/19/2026,"2,000",-2000
7359134585688522757,singleonthemove,Bonus,1/19/2026,"70,000",-70000
7359135097779519493,bryton.39,Bonus,1/16/2026,"35,000",-35000
7359135097779519493,bryton.39,Royal Rumble,1/14/2026,"22,000",-2000
7359134909191159814,skylerclarkk,Royal Rumble,1/14/2026,"10,000",-10000
7417960855335354369,pcdrums76,Bonus,1/14/2026,"35,000",-35000
7359135084659736581,samanthasingsit,Bonus,1/14/2026,"35,000",-35000
7433607263870517264,alexaraeemusic,Bonus,1/14/2026,"35,000",-35000
7359135097779519493,bryton.39,Sunday Knockout,1/12/2026,"8,000",-3000
7359134961959632902,thecyrilia,Sunday Knockout,1/12/2026,"21,000",-1000
7359135283092226053,oregonstargirl,Bonus,1/12/2026,"70,000",-70000
7576723590549389326,gaywhonotme,Gifted,1/12/2026,,-9000
7359134585688522757,singleonthemove,Bonus,1/11/2026,"70,000",-70000
7359134572702957574,jayden_egg,Bonus,1/10/2026,"35,000",-35000
7359135264167428102,coloreomusic,Music Cypher,1/9/2026,"18,000",-8000
7513787055730638849,cwdetroit,Gifted,1/9/2026,,-32000
7359135097779519493,bryton.39,Bonus,1/9/2026,"35,000",-35000
7359135097779519493,bryton.39,Royal Rumble,1/7/2026,"8,000",-8000
7359134909191159814,skylerclarkk,Royal Rumble,1/7/2026,"21,000",-6000
7555294248464039991,follow_the_breeze,Rookie Reward,1/7/2026,"14,500",
7359134909191159814,skylerclarkk,Gifted,1/7/2026,,-30000
7359135097779519493,bryton.39,Sunday Knockout,1/5/2026,"10,000",
7359135084659736581,samanthasingsit,Sunday Knockout,1/5/2026,"4,000",-4000
7513787055730638849,cwdetroit,Sunday Knockout,1/5/2026,"2,000",-2000
7537793382597410829,svendranoel,Gifted,1/5/2026,,-15000
7359137631822708741,sam_g_89,Bonus,1/4/2026,"35,000",-35000
7359135727810052101,hotterjakepaul,Bonus,1/3/2026,"35,000",-35000
7359135097779519493,bryton.39,Royal Rumble,1/2/2026,"14,000",-14000
7359134585688522757,singleonthemove,Royal Rumble,1/2/2026,"30,000",-30000
7527933905626988561,shanellenikolee,Royal Rumble,1/2/2026,"2,000",-2000
7359135264167428102,coloreomusic,Royal Rumble,1/2/2026,"4,000",-4000
7537793382597410829,svendranoel,Royal Rumble,1/2/2026,"43,000",-28000
7359137631822708741,sam_g_89,Royal Rumble,1/2/2026,"6,000",-6000
7555294248464039991,follow_the_breeze,Royal Rumble,1/2/2026,"10,000",-10000
7359135160358699014,kayy.jayy26,Royal Rumble,1/2/2026,"4,000",-4000
7359135097779519493,bryton.39,Bonus,1/2/2026,"70,000",-70000
7359135727810052101,hotterjakepaul,Gifted,1/1/2026,,-5000
7359134585688522757,singleonthemove,Bonus,1/1/2026,"70,000",-70000
7359135084659736581,samanthasingsit,Bonus,12/31/2025,"35,000",-35000
7359135084659736581,samanthasingsit,Gifted,12/31/2025,,-10000
7359135097779519493,bryton.39,Sunday Knockout,12/29/2025,"3,000",-3000
7359135084659736581,samanthasingsit,Sunday Knockout,12/29/2025,"10,000",
7555294248464039991,follow_the_breeze,Sunday Knockout,12/29/2025,"1,000",-1000
7451090481020321808,growandglowasmr,Bonus,12/29/2025,"35,000",-35000
7359139118909095942,sparksboi97,Gifted,12/28/2025,,-8500
7359134572702957574,jayden_egg,Royal Rumble,12/24/2025,"22,000",-2000
7359134909191159814,skylerclarkk,Royal Rumble,12/24/2025,"2,000",-2000
7555294248464039991,follow_the_breeze,Royal Rumble,12/24/2025,"4,000",-4000
7359134585688522757,singleonthemove,Bonus,12/24/2025,"35,000",-35000
7359135084659736581,samanthasingsit,Bonus,12/23/2025,"35,000",-35000
7359135084659736581,samanthasingsit,Sunday Knockout,12/22/2025,"2,000",-2000
7359134909191159814,skylerclarkk,Sunday Knockout,12/22/2025,"2,000",-2000
7567822393935380494,the_greekbeast,Sunday Knockout,12/22/2025,"2,000",-2000
7359134961959632902,thecyrilia,Sunday Knockout,12/22/2025,"13,000",-8000
7359134960558571525,smity194,Bonus,12/21/2025,"36,000",-36000
7359134960558571525,smity194,Bonus,12/21/2025,"35,000",-35000
7417960855335354369,pcdrums76,Bonus,12/20/2025,"36,000",-36000
7359135264167428102,coloreomusic,Music Cypher,12/19/2025,"4,000",-4000
7359134909191159814,skylerclarkk,Music Cypher,12/19/2025,"2,000",-2000
7555294248464039991,follow_the_breeze,Music Cypher,12/19/2025,"6,000",-6000
7359135084659736581,samanthasingsit,Music Cypher,12/19/2025,"2,000",-2000
