,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
52,7359135281678712838,blakeslifeline,GO,1,33,@daddyblake03,CARRINGTON,0,0,185,77K,12,55%,Y,1.00,25,40,15,"351,595",,"351,595",-17%,NR,"422,412","838,023",3,4,39,"260,750",0,"155,750",1x,"155,750",FALSE,FALSE
53,7359135814745391109,tha_dripp_phamily,GO,1,30,@moedagoat_,CARRINGTON,0,0,803,2K,14,64%,Y,1.00,64,80,16,"340,183",,"339,683",-27%,NR,"466,287","460,346",2,3,36,"181,375",0,"3,375",1x,"3,375",FALSE,FALSE
54,7549665746826281015,official.kim20,GO,4,5,@kimbroroberts,MEL + CARRINGTON,0,0,"2,363",0,27,123%,Y,1.00,99,80,-,"334,659",,"331,859",-60%,NR,"845,444","678,574",5,5,58,"2,000",0,"2,000",1x,"2,000",FALSE,FALSE
55,7359135268521246726,thetrapviolinist,GO,-1,33,@thetrapviolinist,LEVI,0,0,"1,704",10K,2,9%,Y,1.00,15,20,5,"326,036",,"326,036",186%,NR,"114,050","212,043",-1,-1,18,"185,000",0,"58,000",-,0,FALSE,FALSE
56,7571891553636073485,rawhn3y,GO,2,3,@rawhn3y_91317,CARRINGTON,0,0,"28,302",0,23,105%,Y,1.00,58,60,2,"325,879",✪,"314,356",-29%,6,"462,106","35,650",4,2,45,0,0,0,1x,0,FALSE,FALSE
57,7359135499635884038,the.camjohnson,GO,4,5,@the.camjohnson,BRYTON,0,0,"1,161",2K,26,118%,Y,1.00,90,80,-,"317,989",,"317,688",243%,NR,"92,754","138,526",1,-1,32,"5,000","10,000","-5,000",1x,0,FALSE,FALSE
58,7481449047811964929,thecluelessbunny,GO,4,2,@thecluelessbunny,LEVI,0,"6,000","1,959",7K,22,100%,Y,1.00,91,80,-,"313,468",✪,"309,244",1748%,48,"16,961",,-1,,25,0,0,0,1x,0,FALSE,FALSE
59,7573015023421997111,shemandigans,GO,4,3,@shemandigans,CARRINGTON,0,"1,000",759,6K,26,118%,Y,1.00,95,80,-,"308,304",✪,"255,419",50%,9,"205,285","81,812",5,5,52,0,0,0,1x,0,FALSE,FALSE
60,7368626525710794769,daisy_dew4,GO,0,21,@brittneya54_73081,CARRINGTON,0,0,838,29K,10,45%,Y,1.00,63,80,17,"301,118",,"301,118",-78%,NR,"1,366,138","1,106,718",6,6,51,"162,000","9,000","105,000",1x,"105,000",,63
61,7359136328962801669,dougielifts,GO,5,29,@dougie9192,CARRINGTON,0,0,"1,579",0,24,109%,Y,1.00,134,80,-,"278,408",,"278,408",-35%,-770,"431,596","117,482",5,2,56,"13,250",0,"13,250",1x,"13,250",FALSE,FALSE
62,7558760842850746382,sarahegant,GO,0,4,@sarahegant,CARRINGTON,0,0,324,4K,8,36%,Y,1.00,18,20,2,"269,557",,"269,557",-68%,NR,"830,553","1,253,872",2,2,37,"61,000",0,"33,000",1x,"33,000",FALSE,FALSE
63,7547872614069518349,primed.plat,GO,0,5,@primedplate1,CARRINGTON,0,0,720,0,9,41%,Y,1.00,24,40,16,"262,099",,"210,625",-62%,NR,"697,232","2,375,730",1,4,32,"66,000",0,0,1x,0,FALSE,FALSE
64,7387268256991657985,titancosplays,GO,2,4,@wolfclanz,LEVI,0,0,175,1K,19,86%,Y,1.00,44,60,16,"245,249",✧,"245,249",183%,-27,"86,524","76,915",0,0,23,0,0,0,-,0,FALSE,FALSE
65,7359137468693872645,shed0fficial,GO,2,19,@shedsings,LEVI,0,0,180,0,16,73%,Y,1.00,64,80,16,"234,249",,"231,616",165%,NR,"88,461","226,062",1,0,25,"2,750",0,"2,750",-,0,FALSE,FALSE
66,7359135184236642309,voyce89,GO,2,34,@voyce89,CARRINGTON,0,0,619,13K,20,91%,Y,1.00,50,60,10,"232,065",,"223,362",63%,NR,"142,506","177,645",2,2,31,"93,250",0,"49,250",1x,"49,250",FALSE,FALSE
67,7359135591147274246,yourfriendm00nmusic,GO,1,31,@yourfriendm00n,LEVI,0,"3,000","1,591",3K,17,77%,Y,1.00,39,40,1,"211,901",,"211,901",497%,NR,"35,468","48,048",-1,-1,16,"20,750",0,"13,750",-,0,FALSE,FALSE
68,7359135762769608710,mistresswednesday13,GO,0,31,@mistresswednesday,CARRINGTON,0,0,178,0,11,50%,Y,1.00,47,60,13,"193,911",,"191,199",-53%,NR,"412,379","240,144",2,2,30,"6,500","6,500",0,1x,0,FALSE,FALSE
69,7578672537446694925,cottonsnivy,GO,4,2,@cottonsnivy,CARRINGTON,0,0,"1,172",0,27,123%,Y,1.00,83,80,-,"193,910",,"193,575",-2%,NR,"198,855",,5,,45,0,0,0,1x,0,FALSE,FALSE
70,7570175504641474574,foolishondemkeyz,GO,5,3,@foofoo29.,TRE,0,"9,000","1,611",28K,31,141%,Y,1.00,184,80,-,"191,382",✦,"191,381",20%,2,"159,895","1,377",4,3,43,"5,000",0,"5,000",1x,"5,000",FALSE,FALSE
71,7540830461166141454,katie.verona,GO,3,6,@katieverona,CARRINGTON,0,0,"4,362",0,24,109%,Y,1.00,78,80,2,"188,593",,"182,466",9%,NR,"172,896","145,740",4,3,38,0,0,0,1x,0,FALSE,FALSE
